Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 07/07/22   Time: 13:30,,,,
Sample: 2000M01 2022M12,,,,
Included observations: 276,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,15.01030,0.584406,25.68470,0.0000
X,-0.874363,0.243478,-3.591137,0.0004
,,,,
R-squared,0.044951,    Mean dependent var,,15.99273
Adjusted R-squared,0.041465,    S.D. dependent var,,8.763010
S.E. of regression,8.579405,    Akaike info criterion,,7.143826
Sum squared resid,20168.10,    Schwarz criterion,,7.170061
Log likelihood,-983.8480,    Hannan-Quinn criter.,,7.154354
F-statistic,12.89627,    Durbin-Watson stat,,0.022251
Prob(F-statistic),0.000390,,,
,,,,
