Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 08/05/22   Time: 11:08,,,,
Sample: 2000M01 2022M12,,,,
Included observations: 276,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,0.525102,0.035181,14.92569,0.0000
X,-0.046212,0.062116,-0.743970,0.4575
,,,,
R-squared,0.002016,    Mean dependent var,,0.502198
Adjusted R-squared,-0.001626,    S.D. dependent var,,0.282673
S.E. of regression,0.282903,    Akaike info criterion,,0.319796
Sum squared resid,21.92937,    Schwarz criterion,,0.346031
Log likelihood,-42.13183,    Hannan-Quinn criter.,,0.330323
F-statistic,0.553491,    Durbin-Watson stat,,2.244951
Prob(F-statistic),0.457532,,,
,,,,
