Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 07/24/22   Time: 11:34,,,,
Sample: 2000Q1 2022Q4,,,,
Included observations: 92,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,-2.728871,1.289844,-2.115659,0.0372
X,0.459016,0.233851,1.962860,0.0528
Z,0.066902,0.276243,0.242184,0.8092
,,,,
R-squared,0.064919,    Mean dependent var,,-3.154564
Adjusted R-squared,0.043906,    S.D. dependent var,,5.864533
S.E. of regression,5.734344,    Akaike info criterion,,6.362889
Sum squared resid,2926.560,    Schwarz criterion,,6.445121
Log likelihood,-289.6929,    Hannan-Quinn criter.,,6.396079
F-statistic,3.089462,    Durbin-Watson stat,,0.048764
Prob(F-statistic),0.050442,,,
,,,,
