Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 07/22/22   Time: 11:50,,,,
Sample: 2000Q1 2022Q4,,,,
Included observations: 92,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,2.706710,0.218069,12.41220,0.0000
X,0.063024,0.093779,0.672042,0.5033
Z,-0.001788,0.053596,-0.033355,0.9735
,,,,
R-squared,0.010514,    Mean dependent var,,2.676539
Adjusted R-squared,-0.011721,    S.D. dependent var,,1.456600
S.E. of regression,1.465112,    Akaike info criterion,,3.633805
Sum squared resid,191.0431,    Schwarz criterion,,3.716037
Log likelihood,-164.1550,    Hannan-Quinn criter.,,3.666995
F-statistic,0.472862,    Durbin-Watson stat,,0.608145
Prob(F-statistic),0.624773,,,
,,,,
