Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 06/23/22   Time: 23:39,,,,
Sample: 2020 2025,,,,
Included observations: 6,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,-0.248392,1.438352,-0.172692,0.8713
X,0.447589,0.538684,0.830893,0.4528
,,,,
R-squared,0.147191,    Mean dependent var,,-1.333110
Adjusted R-squared,-0.066011,    S.D. dependent var,,1.432460
S.E. of regression,1.478984,    Akaike info criterion,,3.881789
Sum squared resid,8.749576,    Schwarz criterion,,3.812376
Log likelihood,-9.645368,    Hannan-Quinn criter.,,3.603922
F-statistic,0.690383,    Durbin-Watson stat,,0.936162
Prob(F-statistic),0.452753,,,
,,,,
