"","a","b"
"1",-0.800188373072064,-1.17640555719849
"2",-0.425467198399766,-2.13998734685775
"3",-1.23468553824931,-2.00986457470772
"4",-1.95574698563313,-2.46414324933671
"5",-3.23645556215935,-3.91138551408415
"6",-2.80843976681748,-2.80670532449935
"7",-1.62038589945394,-1.42331175108704
"8",-0.862873181680335,-2.29527297507771
"9",-2.53771276921052,-1.71189468338222
"10",-3.1755074513235,-1.13181423761991
"11",-2.49702448729844,-1.94107322611769
"12",-1.71018007852474,-1.81856290680189
"13",-1.44857229280037,-3.00292135572011
"14",-1.80700385293899,-4.23450801509923
"15",-1.56762389731084,-4.62965747798124
"16",-2.48067777376726,-3.58272260907588
"17",-0.755209048674665,-4.6043142160401
"18",-1.4579605218044,-4.76903810571316
"19",0.926075415309962,-4.56724972580437
"20",0.57335115718147,-3.41065383548872
"21",1.54672659746454,-2.90059805530863
"22",1.1661210559084,-1.66895174564083
"23",3.01816193329607,-4.02338823220476
"24",2.38612724683665,-3.74120312097268
"25",3.9847201737232,-4.80285961750164
"26",3.78678695565262,-4.2492588140253
"27",2.83740592445023,-4.76527961894179
"28",2.63273779002828,-7.88091386855853
"29",2.28049669915599,-8.92452191742165
"30",2.9616963058462,-9.40820810557898
"31",3.1529816149862,-9.84639367095416
"32",2.30709516371558,-11.4370950316273
"33",3.71422859843057,-11.439323841264
"34",4.54410817376863,-10.7671223210771
"35",5.34053102202621,-10.5341652945253
"36",4.84584000868093,-8.68362914344567
"37",4.68732644347223,-9.51041474940535
"38",4.43691262234071,-11.2250834839513
"39",5.52568386380754,-10.9237714000424
"40",4.99903384968182,-10.5371924113653
"41",5.52482463920437,-11.181911041192
"42",6.20510595412022,-11.7366148136423
"43",6.97565865989795,-11.2006005854211
"44",5.74172926931361,-10.4114138138382
"45",5.1125802736461,-9.80290364746483
"46",5.15962999253949,-11.829335785212
"47",2.68337958012365,-11.1728719969521
"48",2.61510768894595,-11.5581121064684
"49",1.83129764318687,-11.913613427016
"50",2.02776344783214,-11.5795200730528
"51",2.49658511202505,-11.4318921012822
"52",3.01263917504408,-10.8662324393251
"53",0.230682212557221,-10.8041291480622
"54",1.34852166358941,-11.874494343399
"55",-1.76775447569933,-11.6075399058593
"56",-2.40995857277513,-11.0314723948727
"57",-3.18211456137886,-9.35798712966857
"58",-1.11161316757928,-10.6490738570208
"59",-2.66055737658912,-11.760419692809
"60",-1.42506664407843,-12.8187826728956
"61",-1.25482020944186,-11.6827574573678
"62",-3.37833155984028,-11.6359401171853
"63",-2.78873745766477,-13.0542934998502
"64",-2.71799702177349,-13.8907091669728
"65",-3.83217356592728,-12.9620166824887
"66",-2.84034191697581,-13.4418450933921
"67",-4.04467479326262,-14.2910142870087
"68",-3.6210374293808,-14.6935221615707
"69",-1.84582971832987,-14.6082668281685
"70",0.205000314197292,-15.0214260994745
"71",-0.421762310494732,-17.0066296825561
"72",-1.32526007287612,-17.4266345117473
"73",-1.7321123625908,-15.7323877321438
"74",-1.02324892738947,-16.1293526254709
"75",0.278979234223868,-16.059406157102
"76",0.495671064589164,-15.3006800196916
"77",1.11613210914262,-15.1902515258633
"78",0.720265294301148,-14.8082824767768
"79",1.64390993766037,-15.2078472132188
"80",0.352508526669094,-15.8856753986739
"81",0.249579269003183,-15.817277829949
"82",-1.59312255067839,-17.1956541529063
"83",-1.5774900605895,-17.2470101542538
"84",-1.57685415594968,-16.1969249094264
"85",-2.99670958049206,-15.8426848990377
"86",-3.78163892464677,-15.5508827004999
"87",-4.67772937689475,-15.2759167631055
"88",-4.02765254974867,-15.59551628528
"89",-4.24128502235551,-15.9464897062978
"90",-3.73595882717818,-17.2705502303706
