"","Index","a","b"
"1",2000-01-01,-0.800188373072064,-1.17640555719849
"2",2000-01-02,-0.425467198399766,-2.13998734685775
"3",2000-01-03,-1.23468553824931,-2.00986457470772
"4",2000-01-04,-1.95574698563313,-2.46414324933671
"5",2000-01-05,-3.23645556215935,-3.91138551408415
"6",2000-01-06,-2.80843976681748,-2.80670532449935
"7",2000-01-07,-1.62038589945394,-1.42331175108704
"8",2000-01-08,-0.862873181680335,-2.29527297507771
"9",2000-01-09,-2.53771276921052,-1.71189468338222
"10",2000-01-10,-3.1755074513235,-1.13181423761991
"11",2000-01-11,-2.49702448729844,-1.94107322611769
"12",2000-01-12,-1.71018007852474,-1.81856290680189
"13",2000-01-13,-1.44857229280037,-3.00292135572011
"14",2000-01-14,-1.80700385293899,-4.23450801509923
"15",2000-01-15,-1.56762389731084,-4.62965747798124
"16",2000-01-16,-2.48067777376726,-3.58272260907588
"17",2000-01-17,-0.755209048674665,-4.6043142160401
"18",2000-01-18,-1.4579605218044,-4.76903810571316
"19",2000-01-19,0.926075415309962,-4.56724972580437
"20",2000-01-20,0.57335115718147,-3.41065383548872
"21",2000-01-21,1.54672659746454,-2.90059805530863
"22",2000-01-22,1.1661210559084,-1.66895174564083
"23",2000-01-23,3.01816193329607,-4.02338823220476
"24",2000-01-24,2.38612724683665,-3.74120312097268
"25",2000-01-25,3.9847201737232,-4.80285961750164
"26",2000-01-26,3.78678695565262,-4.2492588140253
"27",2000-01-27,2.83740592445023,-4.76527961894179
"28",2000-01-28,2.63273779002828,-7.88091386855853
"29",2000-01-29,2.28049669915599,-8.92452191742165
"30",2000-01-30,2.9616963058462,-9.40820810557898
"31",2000-01-31,3.1529816149862,-9.84639367095416
"32",2000-02-01,2.30709516371558,-11.4370950316273
"33",2000-02-02,3.71422859843057,-11.439323841264
"34",2000-02-03,4.54410817376863,-10.7671223210771
"35",2000-02-04,5.34053102202621,-10.5341652945253
"36",2000-02-05,4.84584000868093,-8.68362914344567
"37",2000-02-06,4.68732644347223,-9.51041474940535
"38",2000-02-07,4.43691262234071,-11.2250834839513
"39",2000-02-08,5.52568386380754,-10.9237714000424
"40",2000-02-09,4.99903384968182,-10.5371924113653
"41",2000-02-10,5.52482463920437,-11.181911041192
"42",2000-02-11,6.20510595412022,-11.7366148136423
"43",2000-02-12,6.97565865989795,-11.2006005854211
"44",2000-02-13,5.74172926931361,-10.4114138138382
"45",2000-02-14,5.1125802736461,-9.80290364746483
"46",2000-02-15,5.15962999253949,-11.829335785212
"47",2000-02-16,2.68337958012365,-11.1728719969521
"48",2000-02-17,2.61510768894595,-11.5581121064684
"49",2000-02-18,1.83129764318687,-11.913613427016
"50",2000-02-19,2.02776344783214,-11.5795200730528
"51",2000-02-20,2.49658511202505,-11.4318921012822
"52",2000-02-21,3.01263917504408,-10.8662324393251
"53",2000-02-22,0.230682212557221,-10.8041291480622
"54",2000-02-23,1.34852166358941,-11.874494343399
"55",2000-02-24,-1.76775447569933,-11.6075399058593
"56",2000-02-25,-2.40995857277513,-11.0314723948727
"57",2000-02-26,-3.18211456137886,-9.35798712966857
