Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 07/06/22   Time: 09:04,,,,
Sample: 2000M01 2022M12,,,,
Included observations: 276,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,0.495927,0.033325,14.88173,0.0000
X,-0.032962,0.058948,-0.559173,0.5765
,,,,
R-squared,0.001140,    Mean dependent var,,0.479913
Adjusted R-squared,-0.002506,    S.D. dependent var,,0.282750
S.E. of regression,0.283104,    Akaike info criterion,,0.321215
Sum squared resid,21.96052,    Schwarz criterion,,0.347450
Log likelihood,-42.32771,    Hannan-Quinn criter.,,0.331743
F-statistic,0.312675,    Durbin-Watson stat,,1.987150
Prob(F-statistic),0.576500,,,
,,,,
